claim_id,claim_text,supported_status,supporting_experiment,supporting_file,key_metric,metric_value,limitation,manuscript_action
C1,PPO without shield is a valid Pure DRL baseline,supported,Phase 3D,final_summary.csv,attack_leakage,0.999,Vulnerable to SLA trade-offs without wrapper,keep
C2,Temporal Runtime Assurance can reduce rolling/cumulative SLA violations under stress,supported,Phase 2F Temporal Stress,final_summary.csv,sla_violations,0,Constrains optimization gradient heavily,keep
C3,Temporal shielding introduces an attack-leakage trade-off,supported,Phase 3D,shield_tradeoff_diagnostics.csv,attack_leakage,0.498,SLA protection explicitly drops leakage defense,keep
C4,Adaptive attackers can exploit the safety-performance trade-off,supported,Phase 3D,shield_tradeoff_diagnostics.csv,temporal_repair_count,1.066,Attacker parameters bounded by MutliDiscrete,keep
C5,Co-evolution without HoF improves adaptive robustness compared with static/no-shield baselines,supported,Phase 3D,robustness_analysis.csv,robustness_score,0.371,Requires alternating training overhead,keep
C6,Hall-of-Fame improves robustness,contradicted,Phase 3D,robustness_analysis.csv,robustness_score,0.221,Incurred optimization interference,remove
C7,Hall-of-Fame reduces catastrophic forgetting,contradicted,Phase 3D,forgetting_analysis.csv,forgetting_score,0.117,Induced regression against old attackers,remove
C8,Hall-of-Fame improves held-out attacker generalization,contradicted,Phase 3D,heldout_attacker_evaluation.csv,heldout_leakage,0.832,Overfitting to archive reduced held-out plasticity,remove
C9,Sentinel-RTA achieves open-world unseen operational robustness,unsupported,Phase 3D,N/A,N/A,N/A,Attacker constrained to parametric MultiDiscrete geometries,remove
C10,Results are production-deployment ready,unsupported,Phase 3D,N/A,N/A,N/A,Requires hardware testbed verification,remove
C11,Current evaluation is simulator-specific,supported,Phase 2/3,envs/ddos_env.py,N/A,N/A,Packet-level routing logic abstracted,keep
B1,Random Defender Baseline,implemented,no,yes,heuristic_baselines_summary.csv,keep
B2,Static Threshold Baseline,implemented,no,yes,heuristic_baselines_summary.csv,keep
B3,Adaptive Threshold Baseline,implemented,no,yes,heuristic_baselines_summary.csv,keep
B4,Shield-Only Baseline,implemented,no,yes,heuristic_baselines_summary.csv,keep
